vid,init_time,tls_distance,stop_distance,time_to_green,tls_light_count,time_of_pass,leading_cars,stop_leading_cars,stop_duration
down_4508,9186.0,499.5325996444561,23.504269017944523,0.0,0,9324.0,9,3,83.0
down_4538,9296.0,106.01554946598587,106.01554946598587,10.0,1,9348.0,14,14,31.0
down_4539,9296.0,113.51657939615058,113.51657939615058,10.0,1,9350.0,15,15,32.0
down_4540,9296.0,121.01766675370192,121.01766675370192,10.0,1,9352.0,16,16,33.0
down_4560,9296.0,498.7091485502198,181.02604194931942,10.0,1,9367.0,24,16,1.0
down_4568,9351.0,169.0207915968026,-1.0,0.0,0,9369.0,9,-1,-1.0
down_4573,9351.0,181.309054376714,-1.0,0.0,0,9371.0,10,-1,-1.0
down_4584,9351.0,227.5970087543797,-1.0,0.0,0,9377.0,13,-1,-1.0
down_4586,9351.0,300.3350963226138,-1.0,0.0,0,9379.0,14,-1,-1.0
down_4603,9351.0,493.7015561575328,-1.0,0.0,0,9389.0,18,-1,-1.0
down_4611,9406.0,67.9552596021552,1.0010108517869298,92.0,0,9505.0,0,0,87.0
down_4628,9406.0,473.05952459741377,46.00716969176506,92.0,0,9524.0,6,6,67.0
down_4633,9461.0,68.51028262474682,68.51028262474682,37.0,1,9531.0,9,9,53.0
down_4637,9461.0,181.1776525349194,91.01346948634655,37.0,1,9537.0,12,12,42.0
down_4694,9571.0,348.82770374659447,-1.0,0.0,0,9590.0,6,-1,-1.0
down_4695,9571.0,421.82895211381833,1.0010282790074712,0.0,0,9697.0,7,0,92.0
down_4700,9571.0,459.63687181724237,8.502082947068345,0.0,0,9702.0,8,1,91.0
down_4708,9626.0,31.00514779702496,31.00514779702496,64.0,1,9711.0,4,4,75.0
down_4766,9736.0,188.65479342030272,-1.0,0.0,0,9757.0,11,-1,-1.0
down_4792,9736.0,484.4704698394052,-1.0,0.0,0,9771.0,18,-1,-1.0
down_4797,9791.0,1.0370785378142957,1.0010214875667316,91.0,0,9889.0,0,0,93.0
down_4799,9791.0,32.6530075547887,8.502033029130757,91.0,0,9894.0,1,1,91.0
down_4813,9791.0,485.37856846414513,61.00933672883565,91.0,0,9912.0,8,8,66.0
down_4848,9901.0,166.02375211007018,166.02375211007018,0.0,0,9941.0,18,18,10.0
down_4871,9956.0,20.763907671087395,-1.0,0.0,0,9958.0,1,-1,-1.0
down_4902,9956.0,435.0119457817466,1.0010459702090202,0.0,0,10081.0,9,0,89.0
down_4926,10011.0,158.87556378625973,53.50832999606689,63.0,1,10102.0,7,7,14.0
down_4929,10011.0,251.95357191385688,61.00947824239086,63.0,1,10104.0,8,8,1.0
down_4983,10121.0,167.69846496163186,-1.0,0.0,0,10139.0,9,-1,-1.0
down_5013,10176.0,34.04153009286807,1.0010069787944644,90.0,0,10273.0,0,0,88.0
down_5016,10176.0,120.8341095412756,8.502071499758243,90.0,0,10278.0,1,1,87.0
down_5067,10286.0,151.02178305731238,151.02178305731238,0.0,0,10321.0,16,16,7.0
down_5079,10286.0,464.5173965177499,-1.0,0.0,0,10334.0,23,-1,-1.0
down_5082,10286.0,488.8031930527166,-1.0,0.0,0,10336.0,24,-1,-1.0
down_5102,10341.0,411.72248286707327,1.001016255459831,0.0,0,10465.0,6,0,91.0
down_5104,10341.0,461.7116072755307,8.502032223798551,0.0,0,10470.0,7,1,85.0
down_5126,10396.0,321.68131259804045,68.51037998857697,62.0,1,10491.0,9,9,55.0
down_5177,10506.0,193.6105669158207,-1.0,0.0,0,10528.0,11,-1,-1.0
down_5196,10561.0,1.0010836643954804,1.0010836643954804,89.0,1,10657.0,0,0,95.0
down_5209,10561.0,388.88647658899424,46.007387520250006,89.0,1,10676.0,6,6,2.0
down_5276,10671.0,408.95235818754884,-1.0,0.0,0,10720.0,24,-1,-1.0
down_5302,10726.0,350.89102648776014,1.001044365224118,0.0,0,10849.0,6,0,93.0
down_5304,10726.0,414.8703859134304,8.502047220081693,0.0,0,10854.0,7,1,91.0
down_5320,10781.0,100.12931818962944,61.009297532471116,61.0,1,10872.0,8,8,65.0
down_5346,10836.0,128.51859625321345,128.51859625321345,6.0,1,10890.0,17,17,30.0
down_5380,10836.0,499.4841811791063,-1.0,6.0,1,10907.0,26,-1,-1.0
down_5396,10891.0,465.55194006832323,-1.0,0.0,0,10925.0,17,-1,-1.0
down_5403,10946.0,1.001355469104567,1.0010959371756485,88.0,1,11041.0,0,0,93.0
down_5413,10946.0,423.5656828391655,46.007343365049906,88.0,1,11060.0,6,6,69.0
down_5422,11001.0,83.512576860092,83.512576860092,33.0,1,11071.0,11,11,51.0
down_5423,11001.0,91.09894124863008,91.01365145231728,33.0,1,11073.0,12,12,47.0
down_5430,11001.0,160.22388730009112,98.51473311774357,33.0,1,11075.0,13,13,42.0
down_5438,11001.0,377.1681130534969,121.01785630019106,33.0,1,11081.0,16,16,23.0
down_5440,11001.0,427.2377685084939,128.51894279875813,33.0,1,11083.0,17,17,22.0
down_5446,11001.0,491.0024986166507,143.52098466220053,33.0,1,11087.0,19,19,10.0
down_5485,11111.0,410.694236664594,1.0010921391673264,0.0,0,11233.0,6,0,89.0
down_5489,11111.0,451.21803773818533,8.502134072600825,0.0,0,11238.0,7,1,85.0
down_5498,11166.0,48.54849827077857,46.007275894305906,60.0,1,11252.0,6,6,66.0
down_5530,11221.0,183.51229161928097,136.0198457192273,5.0,1,11276.0,18,18,3.0
down_5549,11276.0,136.4530478084958,-1.0,0.0,0,11290.0,7,-1,-1.0
